AR-DRG V10.0,description,bool_same_day_payment_list,bool_bundled_icu,alos,inlier_lb,inlier_ub,adj_private_patient_service,adj_paediatric,pwt_sameday,pwt_shortstay_outlierbase,pwt_shortstay_outlier_perdiem,pwt_inlier,pwt_longstay_outlier_perdiem
801A,"GIs Unrelated to Principal Diagnosis, Major Complexity", , ,20.1,13,30,0.14,1.53,,0.9758,0.5602,8.2587,0.2737
801B,"GIs Unrelated to Principal Diagnosis, Intermediate Complexity", , ,9.0,3,27,0.16,1.0,,0.626,1.14,4.0458,0.2723
801C,"GIs Unrelated to Principal Diagnosis, Minor Complexity", , ,2.8,1,8,0.18,1.0,,,,1.3727,0.3313
A13A,"Ventilation >= 336 hours, Major Complexity", , ,31.1,10,93,0.08,1.36,,3.178,2.9636,32.8144,0.3903
A13B,"Ventilation >= 336 hours, Minor Complexity", , ,14.6,4,44,0.1,1.0,,1.3379,4.9687,21.2127,0.4188
A14A,"Ventilation >= 96 hours & < 336 hours, Major Complexity", , ,24.4,8,73,0.11,1.17,,2.2742,2.0724,18.8534,0.3845
A14B,"Ventilation >= 96 hours & < 336 hours, Intermediate Complexity", , ,12.2,4,37,0.1,1.1,,0.9813,2.4412,10.7459,0.3539
A14C,"Ventilation >= 96 hours & < 336 hours, Minor Complexity", , ,6.7,2,20,0.11,1.0,,0.3963,3.2118,6.8199,0.3783
A15A,"Tracheostomy, Major Complexity", , ,29.6,9,89,0.13,1.0,,5.0125,1.538,18.8544,0.3266
A15B,"Tracheostomy, Intermediate Complexity", , ,18.5,6,56,0.15,1.0,,1.6586,1.7173,11.9626,0.3326
A15C,"Tracheostomy, Minor Complexity", , ,11.6,3,35,0.13,1.0,,0.8602,2.3223,7.8272,0.3825
A40Z,ECMO, , ,10.0,4,39,0.15,1.93,,2.3313,4.3169,19.5989,0.5326
B01Z,Ventricular Shunt Revision, , ,5.3,2,21,0.14,0.95,,0.9597,1.1464,3.2525,0.313
B02A,"Cranial Interventions, Major Complexity", , ,17.4,5,52,0.18,1.33,,1.4507,1.9196,11.0485,0.3436
B02B,"Cranial Interventions, Intermediate Complexity", , ,9.1,3,27,0.17,1.14,,1.3285,1.6677,6.3317,0.2983
B02C,"Cranial Interventions, Minor Complexity", , ,5.6,1,17,0.23,0.9,,,,3.9611,0.2686
B03A,"Spinal Interventions, Major Complexity", , ,19.3,6,58,0.18,1.0,,3.2865,1.2897,11.0249,0.2933
B03B,"Spinal Interventions, Intermediate Complexity", , ,8.8,2,26,0.26,0.89,,2.4902,1.4858,5.4619,0.2828
B03C,"Spinal Interventions, Minor Complexity", , ,3.2,1,10,0.24,1.05,,,,2.7649,0.3014
B04A,"Extracranial Vascular Interventions, Major Complexity", , ,11.8,3,35,0.14,1.0,,1.2937,1.6347,6.1977,0.266
B04B,"Extracranial Vascular Interventions, Intermediate Complexity", , ,6.8,2,20,0.15,1.0,,1.2063,1.5305,4.2674,0.2227
B04C,"Extracranial Vascular Interventions, Minor Complexity", , ,3.3,1,10,0.26,1.0,,,,2.7048,0.2573
B05Z,Carpal Tunnel Release, , ,1.0,1,3,0.27,1.0,,,,0.4479,0.1366
B06A,"Interventions for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Major Comp", , ,13.4,4,40,0.12,0.8,,0.963,1.3894,6.5206,0.2792
B06B,"Interventions for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Interm Comp",YES, ,5.4,1,16,0.2,0.87,0.8744,,,2.822,0.2524
B06C,"Interventions for Cerebral Palsy, Muscular Dystrophy and Neuropathy, Minor Comp",YES, ,2.3,1,8,0.22,1.48,0.6971,,,1.6182,0.2343
B07A,"Cranial or Peripheral Nerve and Other Nervous System Interventions, Major Comp", , ,10.4,3,31,0.13,1.06,,0.8431,0.9579,3.7167,0.2169
B07B,"Cranial or Peripheral Nerve and Other Nervous System Interventions, Minor Comp", , ,1.5,1,5,0.16,1.2,,,,1.0246,0.2705
B40Z,"Plasmapheresis W Neurological Disease, Sameday", , ,1.0,1,1,0.08,1.0,,,,0.1778,
B41A,"Telemetric EEG Monitoring, Major Complexity", , ,5.7,1,17,0.08,1.18,,,,2.1616,0.2797
B41B,"Telemetric EEG Monitoring, Minor Complexity", , ,3.6,1,11,0.12,0.8,,,,1.6829,0.3146
B42A,"Nervous System Disorders W Ventilator Support, Major Complexity", , ,12.1,4,36,0.09,1.27,,0.1822,1.6057,6.605,0.3014
B42B,"Nervous System Disorders W Ventilator Support, Intermediate Complexity", , ,5.8,1,17,0.1,1.41,,,,3.2092,0.3332
B42C,"Nervous System Disorders W Ventilator Support, Minor Complexity", , ,2.3,1,7,0.09,1.0,,,,1.7707,0.3738
B62Z,Apheresis, , ,1.0,1,3,0.1,1.0,,,,0.3015,0.2412
B63A,"Dementia and Other Chronic Disturbances of Cerebral Function, Major Complexity", , ,14.8,4,44,0.05,1.0,,0.0,0.8401,3.3604,0.2108
B63B,"Dementia and Other Chronic Disturbances of Cerebral Function, Minor Complexity", , ,6.8,2,20,0.05,1.0,,0.0,0.8066,1.6131,0.193
B64A,"Delirium, Major Complexity", , ,8.9,2,27,0.08,1.0,,0.0,1.116,2.232,0.2251
B64B,"Delirium, Minor Complexity",YES, ,4.1,1,12,0.11,1.0,0.1249,,,0.9974,0.225
B65Z,Cerebral Palsy, , ,1.3,1,4,0.07,1.39,,,,0.4001,0.2654
B66A,"Nervous System Neoplasms, Major Complexity", , ,9.8,3,30,0.07,1.41,,0.0,0.9887,2.9661,0.2352
B66B,"Nervous System Neoplasms, Minor Complexity",YES, ,4.5,1,14,0.1,1.44,0.349,,,1.2347,0.2326
