sepal_length,sepal_width,petal_length,petal_width,species,_id
5.1,3.5,1.4,0.2,setosa,0
4.9,3.0,1.4,0.2,setosa,1
4.7,3.2,1.3,0.2,setosa,2
4.6,3.1,1.5,0.2,setosa,3
5.0,3.6,1.4,0.2,setosa,4
5.4,3.9,1.7,0.4,setosa,5
4.6,3.4,1.4,0.3,setosa,6
5.0,3.4,1.5,0.2,setosa,7
4.4,2.9,1.4,0.2,setosa,8
4.9,3.1,1.5,0.1,setosa,9
5.4,3.7,1.5,0.2,setosa,10
4.8,3.4,1.6,0.2,setosa,11
4.8,3.0,1.4,0.1,setosa,12
4.3,3.0,1.1,0.1,setosa,13
5.8,4.0,1.2,0.2,setosa,14
5.7,4.4,1.5,0.4,setosa,15
5.4,3.9,1.3,0.4,setosa,16
5.1,3.5,1.4,0.3,setosa,17
5.7,3.8,1.7,0.3,setosa,18
5.1,3.8,1.5,0.3,setosa,19
5.4,3.4,1.7,0.2,setosa,20
5.1,3.7,1.5,0.4,setosa,21
4.6,3.6,1.0,0.2,setosa,22
5.1,3.3,1.7,0.5,setosa,23
4.8,3.4,1.9,0.2,setosa,24
5.0,3.0,1.6,0.2,setosa,25
5.0,3.4,1.6,0.4,setosa,26
5.2,3.5,1.5,0.2,setosa,27
5.2,3.4,1.4,0.2,setosa,28
4.7,3.2,1.6,0.2,setosa,29
4.8,3.1,1.6,0.2,setosa,30
5.4,3.4,1.5,0.4,setosa,31
5.2,4.1,1.5,0.1,setosa,32
5.5,4.2,1.4,0.2,setosa,33
4.9,3.1,1.5,0.1,setosa,34
5.0,3.2,1.2,0.2,setosa,35
5.5,3.5,1.3,0.2,setosa,36
4.9,3.1,1.5,0.1,setosa,37
4.4,3.0,1.3,0.2,setosa,38
5.1,3.4,1.5,0.2,setosa,39
5.0,3.5,1.3,0.3,setosa,40
4.5,2.3,1.3,0.3,setosa,41
4.4,3.2,1.3,0.2,setosa,42
5.0,3.5,1.6,0.6,setosa,43
5.1,3.8,1.9,0.4,setosa,44
4.8,3.0,1.4,0.3,setosa,45
5.1,3.8,1.6,0.2,setosa,46
4.6,3.2,1.4,0.2,setosa,47
5.3,3.7,1.5,0.2,setosa,48
5.0,3.3,1.4,0.2,setosa,49
7.0,3.2,4.7,1.4,versicolor,50
6.4,3.2,4.5,1.5,versicolor,51
6.9,3.1,4.9,1.5,versicolor,52
5.5,2.3,4.0,1.3,versicolor,53
6.5,2.8,4.6,1.5,versicolor,54
5.7,2.8,4.5,1.3,versicolor,55
6.3,3.3,4.7,1.6,versicolor,56
4.9,2.4,3.3,1.0,versicolor,57
6.6,2.9,4.6,1.3,versicolor,58
5.2,2.7,3.9,1.4,versicolor,59
5.0,2.0,3.5,1.0,versicolor,60
5.9,3.0,4.2,1.5,versicolor,61
6.0,2.2,4.0,1.0,versicolor,62
6.1,2.9,4.7,1.4,versicolor,63
5.6,2.9,3.6,1.3,versicolor,64
6.7,3.1,4.4,1.4,versicolor,65
5.6,3.0,4.5,1.5,versicolor,66
5.8,2.7,4.1,1.0,versicolor,67
6.2,2.2,4.5,1.5,versicolor,68
5.6,2.5,3.9,1.1,versicolor,69
5.9,3.2,4.8,1.8,versicolor,70
6.1,2.8,4.0,1.3,versicolor,71
6.3,2.5,4.9,1.5,versicolor,72
6.1,2.8,4.7,1.2,versicolor,73
6.4,2.9,4.3,1.3,versicolor,74
6.6,3.0,4.4,1.4,versicolor,75
6.8,2.8,4.8,1.4,versicolor,76
6.7,3.0,5.0,1.7,versicolor,77
6.0,2.9,4.5,1.5,versicolor,78
5.7,2.6,3.5,1.0,versicolor,79
5.5,2.4,3.8,1.1,versicolor,80
5.5,2.4,3.7,1.0,versicolor,81
5.8,2.7,3.9,1.2,versicolor,82
6.0,2.7,5.1,1.6,versicolor,83
5.4,3.0,4.5,1.5,versicolor,84
6.0,3.4,4.5,1.6,versicolor,85
6.7,3.1,4.7,1.5,versicolor,86
6.3,2.3,4.4,1.3,versicolor,87
5.6,3.0,4.1,1.3,versicolor,88
5.5,2.5,4.0,1.3,versicolor,89
5.5,2.6,4.4,1.2,versicolor,90
6.1,3.0,4.6,1.4,versicolor,91
5.8,2.6,4.0,1.2,versicolor,92
5.0,2.3,3.3,1.0,versicolor,93
5.6,2.7,4.2,1.3,versicolor,94
5.7,3.0,4.2,1.2,versicolor,95
5.7,2.9,4.2,1.3,versicolor,96
6.2,2.9,4.3,1.3,versicolor,97
5.1,2.5,3.0,1.1,versicolor,98
5.7,2.8,4.1,1.3,versicolor,99
6.3,3.3,6.0,2.5,virginica,100
5.8,2.7,5.1,1.9,virginica,101
7.1,3.0,5.9,2.1,virginica,102
6.3,2.9,5.6,1.8,virginica,103
6.5,3.0,5.8,2.2,virginica,104
7.6,3.0,6.6,2.1,virginica,105
4.9,2.5,4.5,1.7,virginica,106
7.3,2.9,6.3,1.8,virginica,107
6.7,2.5,5.8,1.8,virginica,108
7.2,3.6,6.1,2.5,virginica,109
6.5,3.2,5.1,2.0,virginica,110
6.4,2.7,5.3,1.9,virginica,111
6.8,3.0,5.5,2.1,virginica,112
5.7,2.5,5.0,2.0,virginica,113
5.8,2.8,5.1,2.4,virginica,114
6.4,3.2,5.3,2.3,virginica,115
6.5,3.0,5.5,1.8,virginica,116
7.7,3.8,6.7,2.2,virginica,117
7.7,2.6,6.9,2.3,virginica,118
6.0,2.2,5.0,1.5,virginica,119
6.9,3.2,5.7,2.3,virginica,120
5.6,2.8,4.9,2.0,virginica,121
7.7,2.8,6.7,2.0,virginica,122
6.3,2.7,4.9,1.8,virginica,123
6.7,3.3,5.7,2.1,virginica,124
7.2,3.2,6.0,1.8,virginica,125
6.2,2.8,4.8,1.8,virginica,126
6.1,3.0,4.9,1.8,virginica,127
6.4,2.8,5.6,2.1,virginica,128
7.2,3.0,5.8,1.6,virginica,129
7.4,2.8,6.1,1.9,virginica,130
7.9,3.8,6.4,2.0,virginica,131
6.4,2.8,5.6,2.2,virginica,132
6.3,2.8,5.1,1.5,virginica,133
6.1,2.6,5.6,1.4,virginica,134
7.7,3.0,6.1,2.3,virginica,135
6.3,3.4,5.6,2.4,virginica,136
6.4,3.1,5.5,1.8,virginica,137
6.0,3.0,4.8,1.8,virginica,138
6.9,3.1,5.4,2.1,virginica,139
6.7,3.1,5.6,2.4,virginica,140
6.9,3.1,5.1,2.3,virginica,141
5.8,2.7,5.1,1.9,virginica,142
6.8,3.2,5.9,2.3,virginica,143
6.7,3.3,5.7,2.5,virginica,144
6.7,3.0,5.2,2.3,virginica,145
6.3,2.5,5.0,1.9,virginica,146
6.5,3.0,5.2,2.0,virginica,147
6.2,3.4,5.4,2.3,virginica,148
5.9,3.0,5.1,1.8,virginica,149
