graphNodeId  start       graphStart  end         globalTid        correlationId  globalTid        name                         
-----------  ----------  ----------  ----------  ---------------  -------------  ---------------  -----------------------------
1            584366518   584378040   584379102   281560221750233  109            281560221750233  cudaGraphAddMemcpyNode_v10000
2            584379402   584382428   584383139   281560221750233  110            281560221750233  cudaGraphAddMemsetNode_v10000
3            584390663   584395352   584396053   281560221750233  111            281560221750233  cudaGraphAddKernelNode_v10000
4            584396314   584397857   584398438   281560221750233  112            281560221750233  cudaGraphAddMemsetNode_v10000
5            584398759   584400311   584400812   281560221750233  113            281560221750233  cudaGraphAddKernelNode_v10000
6            584401083   584403047   584403527   281560221750233  114            281560221750233  cudaGraphAddMemcpyNode_v10000
7            584403928   584404920   584405491   281560221750233  115            281560221750233  cudaGraphAddHostNode_v10000  
29           632107852   632117921   632121407   281560221750233  144            281560221750233  cudaMemcpyAsync_v3020        
30           632122168   632125545   632127989   281560221750233  145            281560221750233  cudaMemsetAsync_v3020        
31           632131546   632133339   632135584   281560221750233  147            281560221750233  cudaMemsetAsync_v3020        
34           632162514   632167393   632169297   281560221750233  151            281560221750233  cudaMemcpyAsync_v3020        
35           632170068   632173334   632175388   281560221750233  152            281560221750233  cudaLaunchHostFunc_v10000    
