charlson_score,hac1,hac2,hac3,hac4,hac6,hac7,hac8,hac9,hac10,hac11,hac12,hac13,hac14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0457,3.574,3.7536,3.4782,3.4688,2.7395,4.1998,3.7041,4.0375,3.2393,3.1803,4.117,5.2042
2,5.6309,5.3745,6.3162,6.9947,5.3291,5.4495,6.8627,6.097,7.7048,4.7439,4.9043,7.5428,6.6002
3,7.2293,7.2219,7.9983,7.7446,7.4255,6.274,8.163,8.2584,10.5016,6.8214,8.217,8.7074,8.7119
4,8.1612,7.8865,8.5563,8.8985,7.7632,6.274,8.958,8.2584,12.3202,6.8214,7.7094,8.7074,9.288
5,8.5139,7.6356,8.433,9.7644,7.2927,8.3441,8.958,8.2584,10.9822,6.8214,7.7094,10.2975,7.7251
6,9.6381,8.4394,10.0719,10.5008,8.479,8.2605,8.958,10.3384,12.2297,8.5112,8.7952,10.8221,11.2639
7,10.6928,10.262,10.9655,11.1263,9.2741,9.7827,10.9819,11.4733,13.7573,9.319,10.2344,11.5308,12.0883
8,11.9857,10.262,12.0622,12.0367,10.4636,9.4437,10.9819,12.8978,14.4901,10.2066,11.5728,12.3287,13.1294
9,11.9857,10.262,12.0622,12.0367,10.4636,10.5394,10.9819,12.8978,14.5327,10.3481,11.6285,12.3287,13.1294
10,11.9857,10.262,12.828,13.84,10.4636,10.5394,10.9819,12.8978,15.4605,9.5398,11.6285,12.3287,13.1294
11,11.9857,10.262,13.8021,13.84,11.0765,10.5394,10.9819,12.8978,18.426,13.275,11.6285,12.3287,16.1183
12,11.9857,10.262,13.8021,13.84,11.0765,10.5394,10.9819,12.8978,18.426,13.275,11.6285,12.3287,16.1183
13,11.9857,10.262,13.8021,13.84,11.0765,10.5394,10.9819,12.8978,18.426,13.275,11.6285,12.3287,16.1183
14,11.9857,10.262,13.8021,13.84,11.0765,10.5394,10.9819,12.8978,18.426,13.275,11.6285,12.3287,16.1183
15,11.9857,10.262,13.8021,13.84,11.0765,10.5394,10.9819,12.8978,18.426,13.275,11.6285,12.3287,16.1183
